head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number,canonical_relation
Rupan Deol Bajaj,Party,versus,Kanwar Pal Singh Gill,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,permits representation in
Central Bureau of Investigation,Party,versus,Duncans Agro Industries limited,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
State of Bihar,Party,versus,Rajendra Agrawalla,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
Rajesh Bajaj,Party,versus,State NCT of Delhi,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
Medchl Chemicals Pharma (P) limited,Party,versus,Biological E limited,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
State of Haryana,Party,versus,666 Hridaya Ranjan Prasad Verma,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
M. Krishnan,,versus,Vijay Kumar,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,defends itself in
Zandu Phamaceutical Works limited,,versus,Mohd.,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
a civil wrong,Criminal Act,as also a,criminal offence,Criminal Act,Indicates that both the civil wrong and criminal offence are considered.,(c) a civil wrong as also a criminal offence.,112,as also a
Commercial Transaction,Contract,may involve,Criminal Offence,Criminal Act,A commercial transaction or contractual dispute may lead to a criminal offence in certain circumstances.,A commercial transaction or a contractual dispute apart from furnishing a cause of action for seeking remedy in civil law may also involve a criminal offence.,115,may involve
Contractual Dispute,Dispute,may involve,Criminal Offence,Criminal Act,A contractual dispute may lead to a criminal offence in certain circumstances.,A commercial transaction or a contractual dispute apart from furnishing a cause of action for seeking remedy in civil law may also involve a criminal offence.,115,denies breach of
The allegations,Allegations,disclose,a criminal offence,Criminal Act,The allegations presented in the complaint indicate or reveal a potential criminal act.,The test is whether the allegations in A complaint disclose a criminal offence or not.,117,disclose
Business Circles,Organization,tendency to convert,Civil Disputes,Dispute,Indicates a tendency for Organizations in business circles to convert civil disputes into criminal cases.,While on this issue it is necessary to take notice of a growing tendency in business circles to convert purely civil disputes into criminal cases.,120,tendency to convert
Civil Disputes,Dispute,converted into,Criminal Cases,Case,Represents the conversion of civil disputes into criminal cases by Organizations in business circles.,While on this issue it is necessary to take notice of a growing tendency in business circles to convert purely civil disputes into criminal cases.,120,converted into
Lenders and Creditors,Plaintiff,do not adequately protect the interests of,Civil Law Remedies,Lawsuit,"The legal remedies under civil law are inadequate in protecting the interests of lenders and creditors, implying inefficiency or ineffectiveness.",This is obviously on account of a prevalent impression that civil law remedies are time consuming and do not adequately protect the interests of lenders creditors.,121,do not adequately protect the interests of
person,Suspect,entangled in,criminal prosecution,Criminal Act,Indicates that a person is involved or entangled in a criminal prosecution.,There is also an impression that if a person could somehow be entangled in a criminal prosecution there is a likelihood of imminent settlement.,125,entangled in
criminal prosecution,Criminal Act,likelihood of imminent,settlement,Dispute,Indicates the possibility that a criminal prosecution may lead to an imminent settlement.,There is also an impression that if a person could somehow be entangled in a criminal prosecution there is a likelihood of imminent settlement.,125,likelihood of imminent
Any effort,Strategy,to settle,civil disputes and claims,Dispute,An attempt to resolve legal conflicts or claims without involving criminal charges.,Any effort to settle civil disputes and claims which do not involve any criminal offence by applying pressure though criminal prosecution should be deprecated and discouraged.,126,seeks arbitration for
effort,Strategy,by applying pressure through,criminal prosecution,Criminal Act,The use of criminal prosecution as a method to apply pressure in settling disputes.,Any effort to settle civil disputes and claims which do not involve any criminal offence by applying pressure though criminal prosecution should be deprecated and discouraged.,126,by applying pressure through
G Sagar Suri,Party,filed against,State of UP,Government,Indicates that G Sagar Suri is the plaintiff in a lawsuit against the State of UP.,In G Sagar Suri versus  State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 The High Court observed,129,files against
The High Court,Court,observed,the case,Lawsuit,Indicates that the High Court made an observation regarding the case.,In G Sagar Suri versus  State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 The High Court observed,129,observed
482,Statute,provided in,Code,Statute,A specific provision or section within a legal statute.,482 of the Code.,135,provided in
High Court,Court,has laid principles on the basis of which,High Court,Court,The High Court has established certain legal principles that guide its jurisdiction and decision-making.,The High Court has laid certain principles on the basis of which High Court is to exercise High Court jurisdiction u section,134,has laid principles on the basis of which
High Court,Court,is to exercise,High Court jurisdiction,Jurisdiction,The High Court is mandated to exercise its jurisdiction based on the principles laid down.,The High Court has laid certain principles on the basis of which High Court is to exercise High Court jurisdiction u section,134,confers authority under
High Court jurisdiction,Jurisdiction,u section,section,Provision,The High Court jurisdiction is exercisable under a specific section of the law.,The High Court has laid certain principles on the basis of which High Court is to exercise High Court jurisdiction u section,134,u section
Jurisdiction,Jurisdiction,has to be exercised,to prevent abuse of the process of any court,abuse of the process of any court,The legal authority must be applied to stop misuse of judicial procedures.,Jurisdiction under this Section has to be exercised to prevent abuse of the process of any court or otherwise to secure the ends of justice.,136,has to be exercised
Jurisdiction,Jurisdiction,has to be exercised,to secure the ends of justice,ends of justice,The legal authority must be applied to ensure fairness and justice.,Jurisdiction under this Section has to be exercised to prevent abuse of the process of any court or otherwise to secure the ends of justice.,136,enables enforcement of
complainant,Plaintiff,initiates prosecution against,criminal proceedings,Criminal Act,A complainant who initiates or persists with a prosecution despite being aware that the criminal proceedings are unwarranted should be made accountable.,While number one with a legitimate cause or grievance should be prevented from seeking remedies available in criminal law a complainant who initiates or persists with a prosecution being fully aware that the criminal proceedings are unwarranted and a prosecution being fully aware that the criminal proceedings are unwarranted and his remedy lies only in civil law remedy lies only in civil law should a prosecution being fully aware that the criminal proceedings are unwarranted and his remedy lies only in civil law be made accountable at the end of such misconceived criminal proceedings in accordance with law.One positive step that can be taken by the courts to curb unnecessary prosecutions and harassment of innocent parties is to exercise innocent parties power u section,139,denies allegations in
courts,Court Official - Judge or Bench,exercise innocent party power u/s 489A CrPC,innocent parties,Party,Courts can take steps to curb unnecessary prosecutions and harassment of innocent parties by exercising their power under section 489A CrPC.,While number one with a legitimate cause or grievance should be prevented from seeking remedies available in criminal law a complainant who initiates or persists with a prosecution being fully aware that the criminal proceedings are unwarranted and a prosecution being fully aware that the criminal proceedings are unwarranted and his remedy lies only in civil law remedy lies only in civil law should a prosecution being fully aware that the criminal proceedings are unwarranted and his remedy lies only in civil law be made accountable at the end of such misconceived criminal proceedings in accordance with law.One positive step that can be taken by the courts to curb unnecessary prosecutions and harassment of innocent parties is to exercise innocent parties power u section,139,authorizes under
IOC,Plaintiff,has initiated,several civil proceedings,Legal Proceedings,The organization has started legal actions to address the situation.,"Coming to the facts of this case, it is no doubt true that IOC has initiated several civil proceedings to safeguard this case interests and recover the amounts due.",144,initiates against
IOC,Plaintiff,to safeguard,this case interests,Case,The organization is taking steps to protect the legal case's interests.,"Coming to the facts of this case, it is no doubt true that IOC has initiated several civil proceedings to safeguard this case interests and recover the amounts due.",144,to safeguard
NEPC India,Defendant,filed two more suits for recovery of amounts due,in the Madras High Court,Lawsuit,Indicates that NEPC India has initiated legal actions to recover dues through court proceedings.,the NEPC India has also filed two more suits for recovery of the amounts due to the NEPC India for the supplies made that is CS No998 1999 against NEPC India (for recovery of Rs.5 28 23 501 90) and CS No11 2000 against Skyline (for recovery of Rs.13 12 76 421 25) in the Madras High Court.,146,filed two more suits for recovery of amounts due
NEPC India,Defendant,filed CS No998/1999 against,NEPC India,Defendant,"Represents a legal action initiated by NEPC India to recover dues from itself, though this is unusual and likely an error.",the NEPC India has also filed two more suits for recovery of the amounts due to the NEPC India for the supplies made that is CS No998 1999 against NEPC India (for recovery of Rs.5 28 23 501 90) and CS No11 2000 against Skyline (for recovery of Rs.13 12 76 421 25) in the Madras High Court.,146,filed CS No998/1999 against
NEPC India,Defendant,filed CS No11/2000 against,Skyline,Organization,Represents a legal action initiated by NEPC India to recover dues from Skyline through court proceedings.,the NEPC India has also filed two more suits for recovery of the amounts due to the NEPC India for the supplies made that is CS No998 1999 against NEPC India (for recovery of Rs.5 28 23 501 90) and CS No11 2000 against Skyline (for recovery of Rs.13 12 76 421 25) in the Madras High Court.,146,filed CS No11/2000 against
this case,Case,has filed,CS No.425/1997 in Madras High Court,,,this case has filed CS No.425 1997 in the Madras High Court and OS No.3327 1998 in the Meenabakkam Airport Chennai seeking injunctive reliefs to restrain the NEPC India from removing the Aircrafts so that the NEPC India can exercise the NEPC India right to possess the Aircrafts.,145,has filed
this case,Case,has filed,OS No.3327/1998 in Meenabakkam Airport Chennai,,,this case has filed CS No.425 1997 in the Madras High Court and OS No.3327 1998 in the Meenabakkam Airport Chennai seeking injunctive reliefs to restrain the NEPC India from removing the Aircrafts so that the NEPC India can exercise the NEPC India right to possess the Aircrafts.,145,has filed
the case,Lawsuit,seeks to restrain,NEPC India from removing Aircrafts so they can exercise their right.,,,this case has filed CS No.425 1997 in the Madras High Court and OS No.3327 1998 in the Meenabakkam Airport Chennai seeking injunctive reliefs to restrain the NEPC India from removing the Aircrafts so that the NEPC India can exercise the NEPC India right to possess the Aircrafts.,145,seeks to restrain
IOC,Plaintiff,initiated proceedings for winding up,NEPC India,Defendant,IOC has taken legal action to wind up NEPC India.,IOC has also initiated proceedings for winding up NEPC India and filed a petition seeking initiation of proceedings for contempt for alleged disobedience of the orders of temporary injunction.,149,initiated proceedings for winding up
IOC,Plaintiff,filed a petition seeking initiation of proceedings for contempt,NEPC India,Defendant,IOC has filed a petition to hold NEPC India in contempt for disobeying court orders.,IOC has also initiated proceedings for winding up NEPC India and filed a petition seeking initiation of proceedings for contempt for alleged disobedience of the orders of temporary injunction.,149,files petition before
IOC,Plaintiff,has taken recourse to,such remedies,Lawsuit,The legal action or remedy that the IOC has utilized.,These acts show that civil remedies were and are available in law and IOC has taken recourse to such remedies.,150,relies on for
IOC,Plaintiff,is estopped from seeking,Criminal law remedy,Lawsuit,The International Olympic Committee (IOC) is not prevented from pursuing a criminal legal remedy.,But it does not follow therefrom that criminal law remedy is barred or IOC is estopped from seeking such remedy.,151,is estopped from seeking
The respondents,Respondent,had no intention to,cheat or dishonestly divert or misappropriate the hypothecated aircraft or any parts thereof,Criminal Act,"This indicates that the respondents have denied any intent to commit acts of cheating, diversion, or misappropriation related to the hypothecated aircraft.",The respondents number doubt have stated that The respondents had number intention to cheat or dishonestly divert or misappropriate the hypothecated aircraft or any parts thereof.,154,had no intention to
The respondents,Respondent,have taken pains to point out,that the Aircrafts are continued to be stationed at Chennai and Coimbatore Airports that the two engines of VT NEK though removed from the aircraft are still lying at Madras Airport that the two DART 552 TR engines of VT NEJ were dismantled for the purpose of overhauling repairing that they were fitted to another Aircraft (VT NEH) which had been taken on lease from 'M section Aircraft Financing and Trading BV' and that the said Aircraft (VT NEH) has been detained by the lessor for Aircraft (VT NEH) dues that the two engines which were meant to be fitted to VT NEJ (in places of the removed engines),Argument,"The respondents are providing detailed arguments or submissions regarding the status and history of various aircraft and their engines, including information about leasing agreements and maintenance activities.",The respondents have taken pains to point out that the Aircrafts are continued to be stationed at Chennai and Coimbatore Airports that the two engines of VT NEK though removed from the aircraft are still lying at Madras Airport that the two DART 552 TR engines of VT NEJ were dismantled for the purpose of overhauling repairing that they were fitted to another Aircraft (VT NEH) which had been taken on lease from 'M section Aircraft Financing and Trading BV' and that the said Aircraft (VT NEH) has been detained by the lessor for Aircraft (VT NEH) dues that the two engines which were meant to be fitted to VT NEJ (in places of the removed engines),157,have taken pains to point out
Defences,Argument,may be available or facts aspects when established during,Trial,Case,"Establishes that defences, as legal arguments, are presented and evaluated during the trial process.",Defences that may be available or facts aspects when established during the trial may lead to acquittal are not grounds for quashing the complaint at the threshold.,161,examines for defense of
Trial,Case,may lead to,Acquittal,Judgment,The trial process can result in a judgment of acquittal if the defences are successful.,Defences that may be available or facts aspects when established during the trial may lead to acquittal are not grounds for quashing the complaint at the threshold.,161,examines against
defences,Defendant,will have to be put forth and considered during,trial,Trial,The legal arguments presented by the defendant during a trial in court.,But these are defences that will have to be put forth and considered during the trial.,160,presents on behalf of
trial,Trial,conducted in,court,Court,The legal examination of evidence and arguments takes place within a court.,But these are defences that will have to be put forth and considered during the trial.,160,evaluates in context of
Averments in the complaint,Lawsuit,spell out,ingredients of a criminal offence,Criminal Act,The allegations in the complaint are being evaluated to determine if they meet the criteria for a criminal act.,At this stage we are only concerned with the question whether the averments in the complaint spell out the ingredients of a criminal offence or not.,164,spell out
High Court,Court,rejecting,respondents,Party,The High Court's decision to reject the respondents' argument.,The High Court was therefore justified in rejecting the contention of the respondents that the criminal proceedings should be quashed in view of the pendency of several civil proceedings.,167,dismisses claims of
respondents,Party,contention,criminal proceedings,Criminal Act,The respondents' argument regarding the criminal proceedings.,The High Court was therefore justified in rejecting the contention of the respondents that the criminal proceedings should be quashed in view of the pendency of several civil proceedings.,167,contention
items,Items,sent for overhauling,M section Hunting Aeromotive UK,Company,,25. when sent for overhauling to M section Hunting Aeromotive UK were detained by M section Hunting Aeromotive UK on account of a dispute relating to M section Hunting Aeromotive UK bills and that in these peculiar circumstances beyond M section Hunting Aeromotive UK control number dishonest intent could be attributed to M section Hunting Aeromotive UK.,159,sent for overhauling
items,Items,detained by,M section Hunting Aeromotive UK,Company,,25. when sent for overhauling to M section Hunting Aeromotive UK were detained by M section Hunting Aeromotive UK on account of a dispute relating to M section Hunting Aeromotive UK bills and that in these peculiar circumstances beyond M section Hunting Aeromotive UK control number dishonest intent could be attributed to M section Hunting Aeromotive UK.,159,detained by
dispute,Dispute,relates to,bills,Bills,,25. when sent for overhauling to M section Hunting Aeromotive UK were detained by M section Hunting Aeromotive UK on account of a dispute relating to M section Hunting Aeromotive UK bills and that in these peculiar circumstances beyond M section Hunting Aeromotive UK control number dishonest intent could be attributed to M section Hunting Aeromotive UK.,159,detains at
dishonest intent,Intent,attributed to,M section Hunting Aeromotive UK,Company,,25. when sent for overhauling to M section Hunting Aeromotive UK were detained by M section Hunting Aeromotive UK on account of a dispute relating to M section Hunting Aeromotive UK bills and that in these peculiar circumstances beyond M section Hunting Aeromotive UK control number dishonest intent could be attributed to M section Hunting Aeromotive UK.,159,attributed to
S. 378,Statute,defines,theft,Criminal Act,A statute providing the legal definition of a criminal act.,S. 378 defines theft.,175,defines
Learned counsel for the appellant,Learned Counsel,represented,Appellant,Appellant,The learned counsel is acting on behalf of the appellant in the case.,"This takes us to the question whether the allegations made in the complaint when taken on their face value as true and correct constitute offences defined under sections 378, 403, 405, 415, and 425 IPC. Learned counsel for the appellant restricted the appellant submissions only to sections 405, 415, and 425 thereby fairly conceding that the averments in the complaint, the complaint do not contain the averments necessary to make out the ingredients of the offence of theft (s 378) or dishonest misappropriation of property (s. 403).",171,advocates for in
Learned counsel for the appellant,Learned Counsel,restricted submissions to,"Sections 405, 415, and 425 IPC",Provision,The learned counsel confined their arguments to specific sections of the law.,"This takes us to the question whether the allegations made in the complaint when taken on their face value as true and correct constitute offences defined under sections 378, 403, 405, 415, and 425 IPC. Learned counsel for the appellant restricted the appellant submissions only to sections 405, 415, and 425 thereby fairly conceding that the averments in the complaint, the complaint do not contain the averments necessary to make out the ingredients of the offence of theft (s 378) or dishonest misappropriation of property (s. 403).",171,presents on behalf of
NEPC,Organization,committing theft,theft,Criminal Act,The organization is accused or implicated in committing a criminal act of theft.,The question of NEPC committing theft of something in NEPC own possession does not arise.,181,committing theft
whoever,Suspect,is said to commit,theft,Criminal Act,Defines the act of taking property without consent as theft.,It states whoever intending to take dishonestly any movable property out of the possession of any person without that person's consent moves that property in order to such taking is said to commit theft.,176,is said to commit
the complaint,Lawsuit,is admitted by,they,Party,The complaint's averments are acknowledged as true.,the averments in the complaint is admitted that they were in the possession of NEPC India at all relevant times.,180,is admitted by
NEPC India,Defendant,was in the possession of,they,Party,The entity acknowledged to have held something at relevant times.,the averments in the complaint is admitted that they were in the possession of NEPC India at all relevant times.,180,was in the possession of
IOC,Plaintiff,alleged in the complaint,the complaint clearly show that neither the aircrafts nor their engines were ever in the possession of IOC,Lawsuit,The complaint makes legal allegations against IOC regarding the possession of aircraft and engines.,the averments in the complaint the complaint clearly show that neither the aircrafts nor their engines were ever in the possession of IOC.,179,alleged in the complaint
the appellant,Appellant,has referenced,section 378,Provision,The appellant has cited or referred to a specific legal provision (section 378) in their arguments or matter.,the appellant has therefore rightly not pressed the matter with reference to section 378.,182,has referenced
S 403,Statute,pertaining to,offence of dishonest misappropriation of property,Criminal Act,The statute deals with or addresses the specific criminal act mentioned.,S 403 deals with the offence of dishonest misappropriation of property.,186,pertaining to
whoever,Suspect,dishonestly misappropriates or converts to his own use,any movable property,Criminal Act,Provides the legal basis for punishing dishonest misappropriation or conversion of movable property as a criminal act.,It provides that whoever dishonestly misappropriates or converts to his own use any movable property shall be punished with imprisonment of either description for a term which may extend to 2 years or with fine or both.,187,dishonestly misappropriates or converts to his own use
the accused,Accused,should wrongly appropriate or convert,such property,Property,"The accused is described as wrongfully appropriating or converting the property, which constitutes a criminal act.",(ii) the accused should wrongly appropriate or convert such property to the accused,190,charges with
such property,Property,to the accused,the accused,Accused,"The property is intended to be converted or appropriated in favor of the accused, which may imply a transfer of ownership or possession.",(ii) the accused should wrongly appropriate or convert such property to the accused,190,to the accused
movable property,Property,should belong to,a person other than the accused,Party,Specifies that the movable property in question must be owned by someone other than the accused.,(i) the movable property in question should belong to a person other than the accused,189,should belong to
dishonest misappropriation,Criminal Act,should be,someone else's movable property,Property,The criminal act of dishonest misappropriation requires that the subject matter belongs to another party.,Here again the basic requirement is that the subject matter of dishonest misappropriation or conversion should be someone else's movable property.,195,should be
conversion,Criminal Act,should be,someone else's movable property,Property,The criminal act of conversion requires that the subject matter belongs to another party.,Here again the basic requirement is that the subject matter of dishonest misappropriation or conversion should be someone else's movable property.,195,should be
someone else's movable property,Property,belongs to,owner,Individual,"The movable property in question must belong to another individual, establishing the basis for claims of misappropriation or conversion.",Here again the basic requirement is that the subject matter of dishonest misappropriation or conversion should be someone else's movable property.,195,belongs to
NEPC India,Defendant,owns possesses,aircraft,Property,Indicates ownership or possession of the aircraft by NEPC India.,When NEPC India owns possesses the aircraft NEPC India obviously cannot 'misappropriate or convert to NEPC India own use' such aircraft or parts thereof.,196,owns possesses
NEPC India,Defendant,cannot misappropriate or convert,aircraft,Property,Indicates that NEPC India is restricted from misappropriating or converting the aircraft for its own use.,When NEPC India owns possesses the aircraft NEPC India obviously cannot 'misappropriate or convert to NEPC India own use' such aircraft or parts thereof.,196,cannot misappropriate or convert
complaint,Complaint,allegations in the complaint make out a case of,criminal breach of trust,Criminal Act,Indicates that the allegations in the complaint establish a case of criminal breach of trust under the specified section.,We will next consider whether the allegations in the complaint make out a case of criminal breach of trust u section,201,allegations in the complaint make out a case of
dishonestly misappropriates or converts to his own use that property,Criminal Act,commits,criminal breach of trust,Criminal Act,The act of dishonestly misusing entrusted property constitutes criminal breach of trust.,Whoever being in any manner entrusted with property or with any dominion over property dishonestly misappropriates or converts to his own use that property or dishonestly uses or disposes of that property in violation of any direction of law prescribing the mode in which such trust is to be discharged or of any legal contract express or implied which he has made touching the discharge of such trust or wilfully suffers any other person so to do commits criminal breach of trust.,205,commits
the section,Statute,involves the following ingredients,a criminal breach of trust,Criminal Act,The section explains the elements required to constitute a criminal breach of trust.,A careful reading of the section shows that a criminal breach of trust involves the following ingredients,208,involves the following ingredients
a person,Suspect,commit,dishonestly misappropriate or convert to a person own use that property or dishonestly use or dispose of property or willfully suffer any other person to do so,Criminal Act,"A person committing a criminal act by dishonestly misappropriating, converting, using, disposing of, or allowing another to misuse property.",(b) a person should dishonestly misappropriate or convert to a person own use that property or dishonestly use or dispose of property or willfully suffer any other person to do so,210,commit
Guardian,Party,has authority over,minor,Party,A Guardian has legal authority to manage the property and affairs of a minor.,(ii) A 'Guardian' with reference to a property of a minor or person of unsound mind.,219,confers authority under
Guardian,Party,has authority over,person of unsound mind,Party,A Guardian has legal authority to manage the property and affairs of a person of unsound mind.,(ii) A 'Guardian' with reference to a property of a minor or person of unsound mind.,219,authorizes handling of
Trustee,Party,holding property in trust with reference to,Beneficiary,Party,The Trustee is acting as a legal entity responsible for managing the property for the benefit of the Beneficiary.,(iii) A 'Trustee' holding a property in trust with reference to the beneficiary.,220,holding property in trust with reference to
