predicate,definition
assigns hearing of,The jurisdiction designates a specific court to handle the lawsuit.
presents against,The plaintiff submits evidence against the respondent in court.
presents to counter,The plaintiff submits evidence to refute the claims of the respondent.
enters into,The government signs a legal contract with a company for specific purposes.
cites as defense in,The defendant refers to a legal provision to support their position in a case.
challenges authority of,The plaintiff disputes the jurisdiction under which the defendant operates.
disputes validity of,The defendant questions the credibility or admissibility of evidence in court.
invokes for defense,The defendant refers to a statute to justify their position in a case.
invokes provision of,The plaintiff refers to a statute to support their claims in a legal case.
defends against accusation of,The lawyer represents the defendant in a case involving allegations of a criminal act.
articulates for,The lawyer prepares legal arguments to support the plaintiff's case.
is accused of,A suspect is accused of committing a criminal act under investigation.
charges with,The police formally accuse the suspect of committing a criminal act.
interrogates about,The police question the suspect regarding their involvement in a criminal act.
seeks resolution of,The plaintiff asks the court to address a dispute with the respondent.
files defense for,The lawyer submits legal arguments to counter claims made against the respondent in a lawsuit.
hears arguments in,The court listens to presentations regarding the case involving the defendant.
files dispute within,The plaintiff initiates legal proceedings regarding a contract under a specific jurisdiction.
advises for dispute with,A lawyer provides counsel to a plaintiff or respondent in a legal dispute.
gathers implicating,The police collect evidence that links the suspect to a criminal act.
files petition before,A petitioner submits a formal request to a court seeking relief or questioning a provision.
tries for,The court conducts a trial to determine the suspect's involvement in a criminal act.
disputes terms with,The plaintiff argues against the defendant regarding the terms of a contract.
defends in,The lawyer represents the respondent in a lawsuit.
advises on,The lawyer offers legal counsel to an organization regarding a case.
considers before ruling,The court reviews evidence meticulously before making a decision.
initiates action against,The plaintiff files a lawsuit against a company for alleged wrongdoing.
rebuts claim of,The defendant counters the argument made by the plaintiff.
locates at,The police find the suspect at the scene of the crime.
contests application of,The defendant challenges the relevance of a provision cited by the plaintiff.
obtains implicating,The police gather evidence that implicates the suspect in a crime.
reviews before ruling on,A court examines evidence carefully before delivering a legal decision.
argues case for,A lawyer represents and argues on behalf of the respondent in court.
seeks repeal of,A petitioner requests the court to annul or overturn a government statute.
renders decision in,A court delivers its decision or judgment in a specific legal case.
applies provisions of,The government enforces statutory laws relevant to a specific case.
submits reply in,The plaintiff provides a formal response to the respondent's defense in a lawsuit.
authorizes review of,The jurisdiction permits a court to reexamine a legal decision.
operates within scope of,The court makes decisions that fall within its legal jurisdiction.
presents on behalf of,The lawyer provides arguments to support the defendant's case.
evaluates relevance of,The court determines the significance of evidence presented in a criminal act.
secures from,The police collect and preserve evidence from the crime scene.
regulates activities of,The government enforces statutes to oversee the company's operations.
enforces within,The government ensures the implementation of statutes within its jurisdiction.
advocates for in,The lawyer represents the appellant in proceedings before the court.
corroborates involvement of,The witness's account supports evidence implicating the suspect.
imposes obligations through,The government enforces obligations on organizations by enacting statutes.
detains at,The police apprehend the suspect at the crime scene for further questioning.
defends against charges of,The lawyer represents the defendant in a criminal act case.
investigates involvement in,The government examines the role of an organization in a specific case.
transfers to,The jurisdiction reassigns a case to a different court.
is interrogated regarding,The suspect is questioned by the police about evidence collected during an investigation.
decides applicability of,The jurisdiction rules on whether a statute is relevant to the lawsuit.
orders compensation to,The court instructs the defendant to pay damages to the plaintiff.
seeks injunction in,The plaintiff requests a court order to prevent the defendant from specific actions during the lawsuit.
identifies involvement of,The witness provides evidence indicating the defendant's role in a criminal act.
grants relief to,The court provides legal remedy to the plaintiff.
negotiates settlement in,The lawyer represents the respondent in reaching a settlement agreement in a lawsuit.
