head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number
IOC,organization,filed a suit against,hypothecated aircraft (VT NEK),aircraft or asset,The organization initiated legal action against the aircraft.,"In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport, IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.",38
IOC,,filed a suit,City Civil Court Chennai,,,In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.,38
mandatory injunction,,sought for,hypothecated aircraft (VT NEK),,,In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.,38
IOC,petitioner,filed a suit,City Civil Court Chennai,location,,In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.,38
other hypothecated aircraft (VT NEK),asset or property,kept at,Meenambakkam (Chennai) Airport,location,,In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.,38
IOC,plaintiff,filed complaints against,NEPC India,organization,the plaintiff initiated legal action against the defendant organization.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section,41
Director (respondent 2),defendant,filed against,NEPC India,organization,the defendant was sued by the plaintiff in a legal complaint.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section,41
Director (respondent 3),defendant,filed against,NEPC India,organization,the defendant was sued by the plaintiff in a legal complaint.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section,41
IOC,company,filed complaints against,NEPC India,company,"The company, IOC, filed legal complaints against another company, NEPC India.",IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
NEPC India,company,against whom complaints were filed,IOC,company,"Complaints were filed against this company by another company, IOC.",IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
Directors,infringer,against whom complaints were filed,IOC,company,"Complaints were filed against these individuals by the company, IOC.",IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
section,statute,under which complaints were filed,IOC,company,Complaints were filed under a specific legal provision (section) allowing such actions.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
IOC,Party,filed complaints against,NEPC India and its two Directors (respondents 2 and 3 herein),Party,The party IOC filed legal actions against the parties NEPC India and its directors.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 and 3 herein) in July 1998 u section.,41
IOC,petitioner,filed complaints against,NEPC India,respondent,the petitioner filed legal actions against the respondent.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
July 1998,date and time,date of filing,complaints,lawsuit,the date when the lawsuit was filed.,IOC filed the two complaints against NEPC India and its two Directors (respondents 2 3 herein) in July 1998 under section.,41
CC No. 299 of 1999,case,before,Judicial Magistrate No6 Coimbatore,court,the case was brought before the court for adjudication.,(i) CC No. 299 of 1999 regarding Aircraft bearing No. VT NEJ was brought before the Judicial Magistrate No6 Coimbatore.,44
CC No. 299 of 1999,criminal case,before,Judicial Magistrate No6 Coimbatore,court,Criminal case was heard before the court.,(i) CC No. 299 of 1999 was before the Judicial Magistrate No6 Coimbatore regarding Aircraft bearing No. VT NEJ.,44
CC No. 299 of 1999,case/preceding,before,Judicial Magistrate No6 Coimbatore,court official,the case was handled by the judicial magistrate.,(i) CC No. 299 of 1999 before the Judicial Magistrate No6 Coimbatore regarding Aircraft bearing No. VT NEJ.,44
CC No. 299 of 1999,lawsuit,before,Judicial Magistrate No6 Coimbatore,location,The lawsuit is being handled by this court.,(i) CC No. 299 of 1999 before the Judicial Magistrate No6 Coimbatore regarding Aircraft bearing No. VT NEJ.,44
Code of Criminal Procedure,statute,alleging,unauthorized removal of the engines and certain other parts from the two hypothecated aircraft,criminal act,the statute is alleging a criminal act involving unauthorized removal of engines and parts from aircraft.,200 of Code of Criminal Procedure alleging unauthorized removal of the engines and certain other parts from the two hypothecated aircraft.,42
Code of Criminal Procedure,Government,alleging,unauthorized removal,Penalty,"The Government entity is alleging unauthorized removal, which constitutes a Penalty.",200 of Code of Criminal Procedure alleging unauthorized removal of engines and certain other parts from the two hypothecated aircraft.,42
Code of Criminal Procedure,,alleging unauthorized removal of engines and certain other parts from the two hypothecated aircraft,unauthorized removal,,,200 of Code of Criminal Procedure alleging unauthorized removal of the engines and certain other parts from the two hypothecated aircraft.,42
CC No. 286 of 1998,Case,before,Judicial Magistrate Alandur (Chennai),Court,The case was filed before the court.,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,45
aircraft bearing No. VT NEK,Infringer,regarding,CC No. 286 of 1998,Copyright or Trademark Rights/Dispute,,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,45
CC No. 286 of 1998,government,before,Judicial Magistrate Alandur (Chennai),court official - judge or bench,The case number was handled by the judicial magistrate.,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,45
aircraft bearing No. VT NEK,copyright infringement,regarding,Judicial Magistrate Alandur (Chennai),court official - judge or bench,The legal matter pertained to the aircraft.,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,45
CC No. 286 of 1998,lawsuit,before,Judicial Magistrate Alandur (Chennai),location,"The lawsuit was brought before the judicial magistrate at Alandur, Chennai.",(ii) CC No. 286 of 1998 regarding aircraft bearing No. VT NEK was brought before the Judicial Magistrate Alandur (Chennai).,45
aircraft bearing No. VT NEK,dispute,regarding,Judicial Magistrate Alandur (Chennai),location,"The dispute regarding the aircraft was handled by the Judicial Magistrate at Alandur, Chennai.",(ii) CC No. 286 of 1998 regarding aircraft bearing No. VT NEK was brought before the Judicial Magistrate Alandur (Chennai).,45
Coimbatore Court,,in CC No.299 1999,CC No.299 1999,,,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under,48
Relevant averments,Evidence,in,complaint,Legal Document,Averments are evidence presented in the complaint.,The relevant averments in the complaint... reads as under.,48
complaint,Legal Document,filed under,CC No.299 1999 (Coimbatore Court),Criminal Act,The complaint was filed as part of a criminal act case.,The relevant averments in the complaint... reads as under.,48
complaint,Party,related to,CC No.299 1999,Case Number,The complaint relates to the case number CC No.299 1999.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under.,48
CC No.299 1999,Case Number,related to,Coimbatore Court,Court Official - Judge or Bench,"The case number CC No.299 1999 is related to the Coimbatore Court, which has jurisdiction over it.",The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under.,48
complaint,dispute,read under,CC No.299 1999,case_number,The complaint details are provided under the case number CC No.299 1999.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under.,48
CC No.299 1999,date and time,filed on,complaint,lawsuit,The complaint was filed on this case number.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under.,48
Coimbatore Court,location,located in,complaint,court,The complaint was located in this court.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under.,48
The complainant,plaintiff,stated that,NEPC India Limited in total disregard to the orders of the Hon.,,,The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
complainant,complainant,provided evidence that,IOC had come to know,evidence,the complainant provided evidence that IOC had knowledge of the situation.,The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
NEPC India Limited,company,disregard to the orders of,Hon.,statute,"the company disregarded legal orders, which could be a violation of statute.",The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
complainant,Party,states that,NEPC India Limited,Party,"The complainant is stating information about the party, NEPC India Limited.",The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
complainant,Party,informed by,IOC,Government,The complainant was informed by an entity related to the government.,The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
NEPC India Limited,Party,disregarded orders from,Hon.,Court Official,"The party, NEPC India Limited, disregarded court orders from the court official.",The complainant states that on 24498 IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,49
High Court Madras,court,had removed,both the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.No.,object,The court had removed parts from the aircraft.,High Court Madras had clandestinely removed both the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.No.,50
High Court Madras,Government,had removed,Aircraft VT NEJ Aircraft Sl.No.,aircraft,"The Government entity, High Court Madras, had removed parts from the aircraft.",High Court Madras had clandestinely removed both the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.No.,50
IOC,Company,was not given notice,,,,No notice was given to IOC in this regard.,54
complainant,plaintiff,filed complaint against,NEPC India Limited,organization,The complainant filed a complaint against the organization.,The complainant states that besides the above the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,52
NEPC India Limited,Company,acted in,removing engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,Criminal Act,"The company, NEPC India Limited, acted in a manner that constitutes a criminal act by removing engines and parts from the aircraft.","The complainant states that besides the above, the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl. constitutes a criminal act.",52
No. 10684 (Fokker F27 500),company,against,hypothecation deed dated 0151997 and 2091997,document,The company's actions were against the terms of the hypothecation deed.,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
the Indian Penal Code,statute,punishable under,Criminal Act,criminal act,The criminal acts are punishable under the statute of the Indian Penal Code.,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
Fokker F27 500 (No. 10684),,is against,hypothecation deed,,,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
hypothecation deed,,will result in,section 378 of IPC,,,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
hypothecation deed,,will result in,section 403 of IPC,,,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
hypothecation deed,,will result in,section 420 of IPC,,,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore,Location,is against,hypothecation deed dated 0151997 and 2091997,legal document,,No. 10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 0151997 and 2091997 will amount to theft criminal breach of trust and cheating which are offences punishable u section 378 (Theft) 403 (Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the Indian Penal Code.,53
hypothecation deed,contract,is against,offences punishable u section 378 (Theft) 403(Dishonest Mispropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,criminal act,,No. 10687 (Fokker F27 500) stationed at the Meenabakkam Airport Chennai is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,60
agreement,contract,is against,offences punishable u section 378 (Theft) 403(Dishonest Mispropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,criminal act,,No. 10687 (Fokker F27 500) stationed at the Meenabakkam Airport Chennai is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,60
No. 10687 (Fokker F27 500),,is against,terms of the hypothecation deed dated 151997,document,the aircraft is against the terms of the hypothecation deed.,No. 10687 (Fokker F27 500) stationed at the Meenabakkam Airport Chennai is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,60
terms of the agreement dated 2091997,agreement,is against,No. 10687 (Fokker F27 500),aircraft,the terms of the agreement are against the aircraft.,No. 10687 (Fokker F27 500) stationed at the Meenabakkam Airport Chennai is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,60
offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief),offence,will amount to,Government,government,the situation will amount to offences defined under the India Penal Code by the Government.,No. 10687 (Fokker F27 500) stationed at the Meenabakkam Airport Chennai is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,60
NEPC India,organization,defeated the right of,IOC,organization,The organization took action to defeat the right of IOC over the aircraft.,"With a view to defeat the said right of IOC, NEPC India removed the engines of the Aircraft (VT NEK) stationed at the Meenambakkam Airport.",58
IOC,company,defeated by removing engines,NEPC India,infringer,IOC's right to possession and sale of the aircraft was defeated by NEPC India removing its engines.,With a view to defeat the said right of IOC (that is right to take possession and sell the aircraft) NEPC India removed the engines of the Aircraft (VT NEK) stationed at the Meenambakkam Airport.,58
IOC,company,action violated contractual obligations,NEPC India,infringer,IOC's right to possession and sale of the aircraft was violated by NEPC India removing its engines.,With a view to defeat the said right of IOC (that is right to take possession and sell the aircraft) NEPC India removed the engines of the Aircraft (VT NEK) stationed at the Meenambakkam Airport.,58
NEPC India,Government,defeated the said right of,IOC,Party,NEPC India acted to prevent IOC from exercising its right to possession and sale.,"With a view to defeat the said right of IOC, NEPC India removed the engines of the Aircraft (VT NEK) stationed at the Meenambakkam Airport.",58
IOC,Company,No notice was given to,IOC,Company,"Notice was not provided to the organization, IOC.",No notice was given to IOC in this regard.,61
IOC,,no notice given,,respondent,,No notice was given to IOC in this regard.,61
complaint,complaint,in,Alandur Court,court,the complaint was filed in this court,"The relevant averments in the complaint, CC No.286 1998 (Alandur Court), read as under.",57
complaint,Evidence,relates_to,CC No.286 1998 (Alandur Court),Criminal Act,,The relevant averments in the complaint in CC No.286 1998 (Alandur Court) read as under,57
Complaint,Party,relates to,CC No.286 1998,Criminal Case,,The relevant averments in the complaint in CC No.286 1998 (Alandur Court) read as under.,57
Alandur Court,Government,has jurisdiction over,CC No.286 1998,Criminal Case,,The relevant averments in the complaint in CC No.286 1998 (Alandur Court) read as under.,57
complaint,Dispute,in,CC No.286 1998,Case Citation,The complaint is in the context of this case.,The relevant averments in the complaint in CC No.286 1998 (Alandur Court) read as under,57
The complainant,plaintiff,states that the act of NEPC India Limited,NEPC India Limited,organization,the plaintiff states that the organization committed an act which led to legal action.,"The complainant, as the plaintiff, states that the act of NEPC India Limited in removing engines and certain other parts from the Aircraft VT NEK Aircraft Sl. led to legal proceedings.",59
Complainant,,filed a complaint against,NEPC India Limited,,,The complainant states that the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEK Aircraft Sl.,59
NEPC India Limited,Company,committed Criminal Act by removing engines and certain other parts from the Aircraft VT NEK Aircraft Sl.,Criminal Act,Criminal Act,,The complainant states that the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEK Aircraft Sl.,59
Complainant,Party,accuses,NEPC India Limited,Accused,,The complainant states that the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEK Aircraft Sl.,59
Aircraft VT NEK,Asset,is subject to,Copyright Infringement,Legal Issue,,The complainant states that the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEK Aircraft Sl.,59
Both the complaints,Lawsuit,contain,common allegations,Argument,,Both the complaints also contain the following common allegations,62
The complainant,plaintiff,filed complaint against,accused,suspect,the plaintiff filed a complaint against the suspect for fraudulent actions.,"The complainant states that the accused had with fraudulent intention to cheat and defraud IOC, which induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.",63
accused,defendant,had induced,IOC,organization,the defendant had fraudulently induced the organization to resume supply of Aircraft fuel on Cash and Carry basis.,"The complainant states that the accused had with fraudulent intention to cheat and defraud IOC, which induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.",63
The accused,Criminal_Act,had with fraudulent intention to cheat and defraud,IOC,Company,,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,63
complainant,Party,states,accused,Accused,,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,63
accused,Accused,had with fraudulent intention to cheat and defraud,IOC,Party,,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,63
accused,Accused,induced,IOC,Party,,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,63
hypothecation agreements,Provision,related,Rs18 crores and the time stipulated,Monetary and Time,,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,63
The complainant,petitioner,had with fraudulent intention to cheat and defraud,the accused,respondent,The petitioner alleged that the respondent had fraudulently induced the IOC.,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,3
IOC,dispute,had induced,the accused,respondent,IOC was fraudulently induced by the respondent.,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,3
the accused,suspect,had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,hypothecation agreements,organization,,However the accused had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,64
the accused,Criminal Act,breached,terms of the hypothecation agreements,Contract,,However the accused had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,64
accused,Accused,breached,hypothecation agreements,Party,The accused violated the terms of the agreement.,However the accused had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,64
NEPC India Limited,organization,had failed to keep up,schedule of payments mentioned in the said agreements,contractual obligation,The organization failed to meet its contractual payment obligations.,"However, NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.",67
NEPC India Limited,Company,failed to keep up,schedule of payments mentioned in the said agreements,Contract,The company failed to adhere to the payment schedule outlined in the contracts.,"However, NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.",67
M section NEPC India Limited,organization,failed to keep up,schedule of payments mentioned in the said agreements,provision,the organization failed to comply with the payment schedule outlined in the agreements.,"However, M section NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.",67
M section NEPC India Limited,organization,had failed to keep up,schedule of payments mentioned in the said agreements,dispute,"The organization had failed to meet the payment schedule under the agreements, indicating a potential dispute.","However, M section NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.",67
,,,,,,Only with a view to defeat the said right of IOC M section NEPC India has removed the engines of the aircraft.,69
IOC,organization,entered into agreement with,M section NEPC India Limited,organization,an organization entered into an agreement with another organization.,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,65
M section NEPC India Limited,organization,agreement was entered into between,IOC,organization,an organization was involved in an agreement with another organization.,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,65
IOC,Company,entered into,M section NEPC India Limited,Company,The company entered into an agreement with another company.,"Subsequently on 2092007, an agreement was entered into between IOC and M section NEPC India Limited.",65
M section NEPC India Limited,Company,entered into by,IOC,Company,This company entered into an agreement with another company.,"Subsequently on 2092007, an agreement was entered into between IOC and M section NEPC India Limited.",65
IOC,organization,entered into an agreement with,M section NEPC India Limited,organization,IOC entered into an agreement with M section NEPC India Limited.,"Subsequently, on 2092007, an agreement was entered into between IOC and M section NEPC India Limited.",65
2092007,date and time,,,,,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,65
IOC,organization,entered into agreement with,M section NEPC India Limited,organization,,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,65
M section NEPC India Limited,organization,entered into agreement with,IOC,organization,,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,65
M section NEPC India Limited,organization,had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC,Rs18 crores approximately,amount,The organization has agreed to pay this amount.,As per the terms of the above agreement M section NEPC India Limited had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC from M section NEPC India Limited and M section Skyline NEPC Limited within a time frame.,66
M section Skyline NEPC Limited,organization,had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC,Rs18 crores approximately,amount,The organization has agreed to pay this amount.,As per the terms of the above agreement M section NEPC India Limited had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC from M section NEPC India Limited and M section Skyline NEPC Limited within a time frame.,66
M section NEPC India Limited,Company,agreed to clear the outstanding amount of Rs18 crores approximately due to IOC from M section Skyline NEPC Limited within a time frame,M section Skyline NEPC Limited,Company,,As per the terms of the above agreement M section NEPC India Limited had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC from M section NEPC India Limited and M section Skyline NEPC Limited within a time frame.,66
M section NEPC India Limited,Party,had agreed to clear,Rs18 crores approximately due from M section NEPC India Limited,amount owed,"The party, M section NEPC India Limited, had agreed to settle the debt amount.","As per the terms of the above agreement, M section NEPC India Limited had agreed to clear the outstanding amount of Rs18 crores approximately due from M section NEPC India Limited and M section Skyline NEPC Limited within a time frame.",66
IOC,Company,has got every right to take possession of,Aircraft VT NEK as well as VT NEJ,Asset/Property,IOC has the legal authority to possess the aircraft.,The facts narrated above will clearly show that IOC has got every right to take possession of the Aircraft VT NEK as well as VT NEJ.,68
IOC,Party,has got every right to take possession of,VT NEK,Aircraft,IOC has the legal right to possess VT NEK.,The facts narrated above will clearly show that IOC has got every right to take possession of the Aircraft VT NEK as well as VT NEJ.,68
IOC,Party,has got every right to take possession of,VT NEJ,Aircraft,IOC has the legal right to possess VT NEJ.,The facts narrated above will clearly show that IOC has got every right to take possession of the Aircraft VT NEK as well as VT NEJ.,68
Mr. A. Kumar,plaintiff,filed lawsuit against,Acme Corporation,defendant,plaintiff initiated legal action against the defendant.,"On 12 March 2023, the plaintiff, Mr. A. Kumar, filed a lawsuit against the defendant, Acme Corporation, in the Delhi High Court.",70
12 March 2023,date and time,date of filing,lawsuit,lawsuit,The date on which the lawsuit was filed.,"On 12 March 2023, the plaintiff, Mr. A. Kumar, filed a lawsuit against the defendant, Acme Corporation, in the Delhi High Court.",70
Delhi High Court,location,filed in,Acme Corporation,defendant,The court where the lawsuit was filed against the defendant.,"On 12 March 2023, the plaintiff, Mr. A. Kumar, filed a lawsuit against the defendant, Acme Corporation, in the Delhi High Court.",70
The respondents herein,defendant,filed Crl.,Crl.,case,The defendants (respondents) filed a case (Crl.).,The respondents herein filed Crl.,73
Crl.,case,filed by,The respondents herein,defendant,A case (Crl.) was filed by the defendant(s).,The respondents herein filed Crl.,73
respondents,Company,filed,Crl.,Criminal Act,The respondents filed a criminal action.,The respondents herein filed Crl.,73
respondents,respondent,filed,Crl,criminal case,the respondents initiated legal action against the criminal case.,The respondents herein filed Crl.,73
OP No1563 of 2000,Legal Case/Proceeding,filed under,section,statute,,OP No1563 of 2000 and Crl.O.P. No.2418 of 1999 respectively u section,74
Crl.O.P. No2418 of 1999,Legal Case/Proceeding,filed under,section,statute,,OP No1563 of 2000 and Crl.O.P. No.2418 of 1999 respectively u section,74
OP No1563 of 2000,Government,referenced under,section,Provision,The court order OP No1563 of 2000 was referenced under the legal provision.,OP No1563 of 2000 and Crl.O.P. No.2418 of 1999 respectively under section.,74
Crl.O.P. No.2418 of 1999,Government,referenced under,section,Provision,The criminal procedure order Crl.O.P. No.2418 of 1999 was also referenced under the legal provision.,OP No1563 of 2000 and Crl.O.P. No.2418 of 1999 respectively under section.,74
482 of Cr.PC,statute,for quashing,two complaints,complaints,the statute is used to quash the two complaints.,"The statute, 482 of Cr.PC, is used for quashing the said two complaints.",75
first complaint,complaint,for quashing,statute,statute,the complaint is being processed under the statute to be quashed.,The first complaint is being processed for quashing under 482 of Cr.PC.,75
second complaint,complaint,for quashing,statute,statute,the second complaint is also being processed under the statute to be quashed.,The second complaint is being processed for quashing under 482 of Cr.PC.,75
482 of Cr.PC,provision,for quashing,the said two complaints,government,The legal provision allows for the quashing of complaints by government authorities.,482 of Cr.PC was invoked for the purpose of quashing the said two complaints by the government authorities.,75
sections 378 403 405 415 or 425 IPC,legislation,defined under,criminal offence,offence,The legal sections define what constitutes a criminal offence.,"(ii) Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415 or 425 IPC.",77
sections,Criminal Act,constitute,criminal offence,Criminal Act,The sections of IPC were used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
